source_dataset,source_track_id,title,artist,album,composer,duration,year,audio_path,license_title,license_url,source_url,license_type,license_code,copyright_status,attribution_required,commercial_use_allowed,modification_allowed,monetization_allowed,recording_public_domain
FMA,05_0216,Snow Monkeys,Candlegravity,Before I Go,,,2012,fma/05_0216.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Candlegravity/Before_I_Go/03__Candlegravity__Before_I_Go__Snow_Monkeys,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,01_0139,Home On The Range,Old Town School Of Folk Music (Various),Old Town School of Folk Music:  Volumes Two And Three,,,2009,fma/01_0139.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Old_Town_School_Of_Folk_Music_Various/Old_Town_School_of_Folk_Music__Volumes_Two_And_Three/Home_On_The_Range,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,06_0008,Ravetrap,Hexawe (Various Artists),Monorave Compo,,,2012,fma/06_0008.mp3,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/Hexawe/Monorave_Compo/HEXAWE_-_MONORAVE_compo_-_08_Ravetrap_by_Drsett_Case,CC_BY,by,PROTECTED,True,True,True,True,False
FMA,06_0478,Dimlight,Podington Bear,Woodwinds,Chad Crouch,,2013,fma/06_0478.mp3,CC-BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/,http://freemusicarchive.org/music/Podington_Bear/Woodwinds/Dimlight,CC_BY_NC,by-nc,PROTECTED,True,False,True,False,False
FMA,05_0042,Vladimir Estragon,Jahzzar,Blinded by Dust,,,2012,fma/05_0042.mp3,CC-BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,http://freemusicarchive.org/music/Jahzzar/Blinded_by_dust/Vladimir_Estragon,CC_BY_SA,by-sa,PROTECTED,True,True,True,True,False
FMA,02_0457,greyish,File Under Toner,"This Is The End, Beautiful Friend",,,2010,fma/02_0457.mp3,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,http://freemusicarchive.org/music/File_Under_Toner/This_Is_The_End_Beautiful_Friend/hr061_C08_greyish,CC0,cc0,PUBLIC_DOMAIN,False,True,True,True,True
FMA,06_0034,Teeth & Claws Sharpened On Centuries Of Corpses,The Unnameable,"Graves Are Not Harde To Digg, Nor Acids Loth To Burne",,,2012,fma/06_0034.mp3,CC-BY-ND 3.0,https://creativecommons.org/licenses/by-nd/3.0/,http://freemusicarchive.org/music/The_Unnameable/Graves_Are_Not_Harde_To_Digg_Nor_Acids_Loth_To_Burne/two_1975,CC_BY_ND,by-nd,PROTECTED,True,True,False,True,False
FMA,00_0264,Nie Zama Nie Sema,The Sounds of Taraab,Sounds of Taraab Live on WFMU from the 2009 Golden Festival in NYC,,,2009,fma/00_0264.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/The_Sounds_of_Taraab/Sounds_of_Taraab_Live_on_WFMU_from_the_2009_Golden_Festival_in_NYC/Nie_Zama_Nie_Sema_1,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,01_0262,Xöömei,Alash Ensemble,Live on WFMU's Transpacific Sound Paradise on 7/24/09,,,2009,fma/01_0262.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Alash_Ensemble/Live_on_WFMUs_Transpacific_Sound_Paradise_on_72409/Xmei,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,02_0430,Berries,Gurdonark,Classwar Karaoke - 0012 Survey,,,2010,fma/02_0430.mp3,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/,http://freemusicarchive.org/music/Gurdonark/Classwar_Karaoke_-_0012_Survey/15_Berries,CC_BY,by,PROTECTED,True,True,True,True,False
