source_dataset,source_track_id,title,artist,album,composer,duration,year,audio_path,license_title,license_url,source_url,license_type,license_code,copyright_status,attribution_required,commercial_use_allowed,modification_allowed,monetization_allowed,recording_public_domain
FMA,2,Food,AWOL,AWOL - A Way Of Life,,,2008,fma/000002.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Food,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,3,Electric Ave,AWOL,AWOL - A Way Of Life,,,2008,fma/000003.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Electric_Ave,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,5,This World,AWOL,AWOL - A Way Of Life,,,2008,fma/000005.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/This_World,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,10,Freeway,Kurt Vile,Constant Hitmaker,Kurt Vile,,2008,fma/000010.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Kurt_Vile/Constant_Hitmaker/Freeway,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,134,Street Music,AWOL,AWOL - A Way Of Life,,,2008,fma/000134.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Street_Music,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,136,Peel Back The Mountain Sky,Abominog,mp3,,,2008,fma/000136.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Abominog/mp3_1_1535/Peel_Back_The_Mountain_Sky,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,139,CandyAss,Alec K. Redfearn & the Eyesores,Every Man For Himself,,,2008,fma/000139.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/CandyAss,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,The Blind Spot,,,2008,fma/000140.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/The_Blind_Spot/Queen_Of_The_Wires,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,141,Ohio,Alec K. Redfearn & the Eyesores,Every Man For Himself,,,2008,fma/000141.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/Ohio,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,148,Blackout 2,Contradiction,Contradiction,,,2008,fma/000148.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Contradiction/Contradiction/Blackout_2,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,181,Gopacapulco,Ariel Pink's Haunted Graffiti,Scared Famous,,,2008,fma/000181.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/Scared_Famous/Gopacapulco,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Worn Copy,,,2008,fma/000182.mp3,CC-BY-NC-ND 3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,http://freemusicarchive.org/music/Ariel_Pinks_Haunted_Graffiti/Worn_Copy/Jules_Lost_His_Jewels,CC_BY_NC_ND,by-nc-nd,PROTECTED,True,False,False,False,False
FMA,190,Castle Of Stars,Ed Askew,Blue Piano,,,2008,fma/000190.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Castle_Of_Stars,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,193,Here With You,Ed Askew,Blue Piano,,,2008,fma/000193.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Here_With_You,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,194,All I want to Do,Ed Askew,Blue Piano,,,2008,fma/000194.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/All_I_want_to_Do,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,197,Piano 2,Ed Askew,Blue Piano,,,2008,fma/000197.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Piano_2,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,198,It Breaks My Heart,Ed Askew,Blue Piano,,,2008,fma/000198.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/It_Breaks_My_Heart,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,200,Baby Come Home,Ed Askew,Blue Piano,,,2008,fma/000200.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Baby_Come_Home,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,203,Song For R,Ed Askew,Blue Piano,,,2008,fma/000203.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Song_For_R,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,204,My Dream,Ed Askew,Blue Piano,,,2008,fma/000204.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/My_Dream,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,207,Piano 3,Ed Askew,Blue Piano,,,2008,fma/000207.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Piano_3,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
FMA,208,Safe Harbor,Ed Askew,Blue Piano,,,2008,fma/000208.mp3,CC-BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,http://freemusicarchive.org/music/Ed_Askew/Blue_Piano/Safe_Harbor,CC_BY_NC_SA,by-nc-sa,PROTECTED,True,False,True,False,False
